"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","西原","","",26000000,430,"","",150,"2000年","木造","","","東","公道",4,"近隣商業",80,200,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","千波町","水戸",25,17000000,165,"","",115,"1993年","軽量鉄骨造","","","南","私道",4,"１低住専",40,80,"2023年第3四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","千波町","水戸","",18000000,145,"","",110,"2015年","木造","","","北東","公道",4,"２中住専",60,200,"2023年第3四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","双葉台","赤塚","",23000000,160,"","",100,"2023年","木造","","","北","公道",6,"１低住専",50,100,"2023年第3四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","新原","赤塚","",24000000,215,"","",115,"2023年","木造","","","南西","公道",6.3,"１種住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","新原","赤塚","",25000000,200,"","",115,"2023年","木造","","","東","公道",6.3,"１種住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","西原","赤塚","",16000000,190,"","",95,"","木造","","","北","公道",11,"２種住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","浜田","水戸","",20000000,190,"","",100,"2022年","木造","","","南","公道",5.5,"２種住居",60,200,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","浜田","水戸","",22000000,185,"","",100,"2022年","木造","","","南","公道",5.5,"２種住居",60,200,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","松が丘","赤塚","",22000000,210,"","",110,"2022年","木造","","","北","私道",4,"２中住専",60,200,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","見川町","水戸","",27000000,240,"","",110,"2022年","木造","","","南東","公道","","１中住専",60,200,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","見川町","水戸","",28000000,260,"","",110,"2022年","木造","","","","公道","","１中住専",60,200,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","東前町","水戸","1H30～2H",25000000,185,"","",95,"","木造","","","東","公道",4,"１低住専",40,80,"2023年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","酒門町","東水戸","",25000000,190,"","",120,"2017年","木造","","","","","","工業",60,200,"2023年第3四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","酒門町","水戸","",18000000,155,"","",95,"2023年","木造","","","南","公道",6.3,"工業",60,200,"2023年第3四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","酒門町","水戸","30分～60分",6500000,235,"","",115,"1969年","木造","","","東","公道","","１低住専",50,100,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","堀町","赤塚","",20000000,170,"","",100,"2023年","木造","","","北西","公道",4,"１低住専",40,80,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","堀町","赤塚",25,18000000,260,"","",140,"1997年","軽量鉄骨造","","","","","","１低住専",50,100,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","見和","赤塚",15,18000000,135,"","",95,"1996年","木造","","","北","公道",6.3,"１中住専",60,200,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","渡里町","水戸","",19000000,175,"","",100,"2022年","木造","","","北東","公道",4,"１低住専",40,80,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","赤塚","赤塚",15,16000000,235,"","",115,"1979年","木造","","","南","公道",5,"１種住居",60,200,"2023年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","石川","赤塚",25,18000000,385,"","",105,"1980年","木造","","","東","公道",8,"１中住専",60,200,"2023年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","中丸町","赤塚",20,27000000,225,"","",105,"2022年","木造","","","","","","１低住専",40,80,"2023年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","姫子","赤塚",15,25000000,205,"","",110,"2022年","木造","","","南","公道",4,"１種住居",60,200,"2023年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","堀町","赤塚","",36000000,440,"","",130,"2015年","木造","","","南","公道",15.1,"１種住居",60,200,"2023年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","見和","赤塚","",24000000,140,"","",100,"2023年","木造","","","南","公道",4,"１中住専","","","2023年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","見和","水戸","",21000000,205,"","",155,"2005年","木造","","","","","","２種住居",60,200,"2023年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","渡里町","赤塚","",20000000,180,"","",100,"","木造","","","東","公道",4,"１中住専",60,200,"2023年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","曙町","水戸","",22000000,125,"","",100,"2023年","木造","","","西","公道",4.5,"２種住居",60,200,"2023年第3四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","堀町","赤塚","",19000000,175,"","",95,"2023年","木造","","","北東","公道",4,"１低住専",40,80,"2023年第3四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","東前","常澄","30分～60分",24000000,340,"","",195,"1997年","軽量鉄骨造","","","南","公道",10,"１低住専",50,100,"2023年第3四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","笠原町","水戸","",16000000,165,"","",100,"2007年","木造","","","","私道",4,"１低住専",40,80,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","堀町","赤塚",25,17000000,145,"","",100,"2023年","木造","","","南","公道",5.8,"１低住専",40,80,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","堀町","赤塚","30分～60分",15000000,155,"","",100,"","木造","","","東","私道",4,"１低住専",60,200,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","見和","赤塚","",15000000,250,"","",110,"1997年","木造","","","西","公道",5.6,"１中住専",60,200,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","東前","","",13000000,260,"","",140,"1995年","木造","","","南","公道",10,"１種住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","青柳町","水戸",29,16000000,330,"ほぼ長方形",17.1,145,"1997年","木造","住宅","","西","市道",6.3,"調整区域",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","青柳町","水戸",29,24000000,200,"台形",16,65,"2023年","木造","住宅","住宅","南西","市道",6,"調整区域",60,200,"2023年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","赤塚","赤塚",4,11000000,460,"不整形",11,115,"1976年","木造","住宅","その他","接面道路無","","","２中住専",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","赤塚","赤塚",11,8300000,80,"ほぼ整形",12,"","","","","その他","西","市道",7.5,"１種住居",60,200,"2023年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","08201","茨城県","水戸市","赤塚","赤塚",7,130000000,"2,000㎡以上","不整形",48,340,"","鉄骨造","工場、事務所","店舗","北西","国道",15.5,"準住居",80,200,"2023年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","赤塚","赤塚",13,16000000,230,"ほぼ長方形",8,110,"1979年","木造","住宅","住宅","南","私道",6,"１種住居",60,200,"2023年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","曙町","赤塚","30分～60分",24000000,130,"ほぼ正方形",11,105,"2023年","木造","住宅","住宅","南西","市道",5.6,"２種住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","曙町","赤塚","30分～60分",13000000,130,"ほぼ正方形",11.7,100,"1985年","木造","住宅","住宅","南東","市道",5.8,"２種住居",60,200,"2023年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","朝日町","水戸",26,16000000,390,"不整形",28,80,"2000年","木造","住宅","住宅","東","市道",4,"２中住専",60,200,"2023年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","飯富町","赤塚","1H～1H30",9300000,200,"ほぼ長方形",12,100,"1994年","木造","住宅","住宅","西","市道",6.8,"調整区域",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川","赤塚",19,20000000,390,"ほぼ整形",25,210,"1988年","軽量鉄骨造","共同住宅","住宅","南","市道",4,"２中住専",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川","赤塚",20,19000000,210,"ほぼ台形",6.5,100,"2023年","木造","住宅","住宅","南西","市道",4,"１種住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川","赤塚",14,45000000,210,"ほぼ整形",10,125,"","","","住宅","東","市道",6,"２中住専",60,200,"2023年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川","赤塚",19,2700000,260,"袋地等","",95,"1981年","木造","住宅","住宅","北","市道",4.2,"１中住専",60,200,"2023年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","石川町","赤塚",23,32000000,230,"ほぼ整形",4,110,"2023年","木造","住宅","住宅","東","市道",6,"１低住専",40,80,"2023年第3四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","商業地","08201","茨城県","水戸市","泉町","水戸",21,33000000,600,"ほぼ整形",23.4,570,"1980年","鉄骨造","事務所、店舗","事務所","南西","市道",6,"商業",80,400,"2023年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","岩根町","赤塚","1H30～2H",4500000,470,"ほぼ台形",7.5,145,"1992年","木造","住宅","","南","市道",1.8,"調整区域",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","内原町","内原",20,47000000,280,"ほぼ正方形",16,100,"2023年","木造","住宅","","北東","市道",3.6,"調整区域",60,200,"2023年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","内原町","内原",23,35000000,260,"長方形",18,115,"2023年","木造","住宅","住宅","南","市道",6,"調整区域",60,200,"2023年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大串町","常澄","30分～60分",11000000,170,"不整形",5.8,105,"1990年","木造","住宅","住宅","南西","私道",3.6,"１低住専",50,100,"2023年第4四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大串町","水戸","1H30～2H",4000000,990,"ほぼ正方形",28,250,"1975年","木造","","住宅","東","市道",4.5,"調整区域",60,200,"2023年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大足町","内原","30分～60分",37000000,290,"ほぼ長方形",25,115,"2023年","木造","住宅","","南西","市道",5,"調整区域",60,200,"2023年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大塚町","赤塚",14,2000000,155,"長方形","",80,"1996年","木造","住宅","その他","南東","私道",4,"１低住専",40,80,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","大塚町","赤塚",26,23000000,290,"袋地等",4,75,"2007年","軽量鉄骨造","住宅","住宅","西","市道",4,"調整区域",60,200,"2023年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","加倉井町","内原","30分～60分",5100000,200,"ほぼ長方形",12,120,"1995年","木造","住宅","","西","市道",4,"調整区域",60,200,"2023年第3四半期","調停・競売等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",12000000,210,"長方形",16,115,"1982年","木造","住宅","住宅","北西","市道",6,"１低住専",40,80,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","08201","茨城県","水戸市","笠原町","水戸","30分～60分",13000000,240,"ほぼ整形",14,100,"1988年","木造","住宅","店舗","南","市道",6,"２中住専",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",45000000,990,"長方形",18.2,320,"1999年","鉄骨造","事務所","事務所","南","市道",2.6,"調整区域",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","30分～60分",35000000,220,"ほぼ長方形",11.5,115,"2023年","木造","住宅","住宅","南","市道",3,"２中住専",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",31000000,250,"長方形",8.9,110,"2022年","","住宅","住宅","北","市道",2.7,"１低住専",40,80,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",24000000,165,"長方形",17.9,110,"2023年","木造","住宅","住宅","南東","市道",4.2,"準住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",50000000,250,"ほぼ長方形",15,130,"2023年","木造","住宅","住宅","南","市道",6.5,"調整区域",60,200,"2023年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",140000000,920,"不整形",9.5,410,"2021年","軽量鉄骨造","共同住宅","住宅","南東","市道",10,"調整区域",60,200,"2023年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",11000000,260,"正方形",15.5,120,"1988年","木造","住宅","住宅","南西","市道",6,"１低住専",40,80,"2023年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","30分～60分",22000000,420,"長方形",13,270,"1991年","鉄骨造","共同住宅","住宅","西","市道",5.5,"１種住居",60,200,"2023年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H～1H30",5600000,240,"長方形",12,120,"1973年","","住宅","その他","南西","市道",6,"１低住専",50,100,"2023年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","30分～60分",31000000,290,"袋地等",5.5,115,"2022年","木造","住宅","住宅","南","市道",3.5,"１種住居",60,200,"2023年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","笠原町","水戸","30分～60分",45000000,290,"袋地等",5,85,"2024年","木造","住宅","","西","市道",6.2,"調整区域",60,200,"2023年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","上水戸","赤塚","30分～60分",35000000,190,"長方形",16.4,115,"2023年","木造","住宅","住宅","南西","市道",6.3,"２種住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","上水戸","赤塚","30分～60分",33000000,185,"ほぼ正方形",11,115,"2024年","木造","住宅","住宅","北東","市道",6.3,"２種住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","上水戸","赤塚","30分～60分",180000000,800,"ほぼ長方形","",520,"2023年","軽量鉄骨造","共同住宅","住宅","北西","市道",6,"２種住居",60,200,"2023年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","上水戸","水戸","30分～60分",17000000,410,"ほぼ長方形",10.5,"","","","","事務所","南東","市道",7,"２種住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","上水戸","水戸","30分～60分",35000000,220,"長方形","",115,"2023年","木造","住宅","住宅","南西","道路",6,"２種住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","上水戸","水戸","30分～60分",35000000,195,"長方形",10.5,115,"2023年","木造","住宅","住宅","南東","道路",6,"２種住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",12,7000000,710,"ほぼ整形","",150,"1973年","木造","住宅","その他","南東","市道",4,"１中住専",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",10,22000000,280,"ほぼ正方形",17,200,"1996年","軽量鉄骨造","共同住宅","住宅","東","市道",6,"１中住専",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",11,12000000,240,"ほぼ長方形",18,"","","","","住宅","南東","市道",4,"１種住居",60,200,"2023年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",14,43000000,250,"長方形",11,120,"2022年","木造","住宅","住宅","南東","私道",6,"調整区域",60,200,"2023年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",26,26000000,230,"ほぼ長方形",13.5,120,"2023年","木造","住宅","住宅","北西","私道",6,"１中住専",60,200,"2023年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",9,26000000,230,"不整形",4,145,"2001年","鉄骨造","住宅","住宅","東","市道",6,"１種住居",60,200,"2023年第2四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",18,22000000,220,"ほぼ長方形",12,110,"2023年","","住宅","住宅","北西","市道",2.5,"１中住専",60,200,"2023年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",11,24000000,250,"ほぼ長方形","",110,"2023年","木造","住宅","住宅","南西","市道",4,"１中住専",60,200,"2023年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田","赤塚",21,26000000,260,"台形",16,110,"2023年","木造","住宅","住宅","北西","市道",4,"１中住専",60,200,"2023年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚","30分～60分",36000000,"2,000㎡以上","不整形","50.0m以上",600,"1976年","木造","住宅、倉庫","その他","東","市道",8.8,"調整区域",60,200,"2023年第4四半期","調停・競売等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚","30分～60分",27000000,560,"長方形",18.5,85,"2023年","木造","住宅","","南西","市道",10.4,"調整区域",60,200,"2023年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚","30分～60分",15000000,440,"ほぼ長方形",22.5,125,"2016年","木造","住宅","","北東","市道",2.7,"調整区域",60,200,"2023年第2四半期","調停・競売等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚",28,35000000,250,"ほぼ整形",12.5,105,"","","","住宅","北西","市道",6,"調整区域",60,200,"2023年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚","30分～60分",11000000,260,"ほぼ長方形",16.5,200,"1976年","木造","住宅","","北西","市道",5,"１低住専",50,100,"2023年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","河和田町","赤塚",24,42000000,250,"ほぼ整形",13,"","","","","住宅","北東","道路",6,"調整区域",60,200,"2023年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","けやき台","水戸","1H～1H30",10000000,230,"長方形",14.5,145,"1995年","木造","住宅","住宅","北西","市道",6,"１低住専",50,100,"2023年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","鯉淵町","内原","1H～1H30",33000000,250,"長方形",14,120,"2023年","","","住宅","北西","市道",6,"調整区域",60,200,"2023年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","鯉淵町","内原","1H～1H30",24000000,300,"ほぼ台形",12.5,95,"2023年","木造","住宅","住宅","西","市道",10,"調整区域",60,200,"2023年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","小林町","内原",25,2700000,370,"ほぼ整形",20.5,135,"1988年","木造","住宅","","北東","市道",10,"調整区域",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","小林町","内原",18,10000000,290,"台形",20,105,"2022年","木造","住宅","住宅","南東","市道",17,"調整区域",60,200,"2023年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","小林町","内原",24,20000000,320,"ほぼ長方形",12,100,"2022年","木造","住宅","住宅","南東","市道",17,"調整区域",60,200,"2023年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","小吹町","赤塚","30分～60分",2500000,"2,000㎡以上","不整形",46.8,"","","","住宅","","北西","市道",3.4,"調整区域",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","小吹町","赤塚","1H～1H30",21000000,195,"ほぼ台形",12.8,105,"2023年","木造","住宅","住宅","南西","市道",5.5,"調整区域",60,200,"2023年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","栄町","水戸","30分～60分",24000000,145,"ほぼ台形","",95,"2023年","木造","住宅","住宅","西","市道",4,"商業",80,400,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","08201","茨城県","水戸市","栄町","水戸",29,10000000,100,"ほぼ長方形",5.5,175,"1982年","ＳＲＣ","住宅、店舗","店舗","西","市道",4,"商業",80,400,"2023年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","酒門町","水戸","30分～60分",31000000,270,"ほぼ台形",11,110,"2023年","","住宅","住宅","南西","市道",6,"調整区域",60,200,"2023年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","08201","茨城県","水戸市","酒門町","水戸","30分～60分",29000000,260,"長方形",12.9,105,"2023年","","住宅","住宅","北西","市道",6,"調整区域",60,200,"2023年第4四半期",""
